Fiber Volume Fraction,Fabric thickness,Ply.1.ply_angle,Ply.2.ply_angle,Ply.3.ply_angle,Ply.4.ply_angle,Ply.5.ply_angle,Ply.6.ply_angle,Force X Component [N],E1,E2,E3,G12,G23,G31,ν12,ν13,ν23,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Equivalent Elastic Strain Maximum,Inverse Reserve Factor Maximum
0.5249080237694725,0.15332392719095153,45,0,45,-45,-45,-90,2293.1544294914647,156823.5714443652,9401.881447246646,7580.242479747188,3616.1082489410173,2807.4972147211806,2871.3039696012074,0.30471595611269575,0.22349058590731094,0.33146889738713264,0.171664029429052,272.92406026067107,0.0017403254992027378,0.34115507532583883
0.6401428612819833,0.21754217052810446,90,45,-90,90,45,0,1926.1085621834493,171097.27909408073,10792.875402486143,8495.970213980134,4151.1059240331315,3146.655634807457,3218.1705355985355,0.33174258528045014,0.2741641507833053,0.34819075688360024,0.12782925246221116,221.00845879889187,0.0012917122935506569,0.2762605734986148
0.596398788362281,0.27713025045775347,45,-45,-45,0,-90,90,2603.2430095156647,164264.26157356089,10025.280897504477,8107.058373264868,3855.8772682709528,3002.6142123203213,3070.8554444185106,0.30798367597577203,0.2587845099685847,0.39686629131467377,0.17440417716709894,301.6019366260321,0.0018360776333016821,0.37700242078254015
0.5697316968394073,0.251800479553721,45,-45,-90,0,-45,0,1785.1082730738638,159850.97983683954,9935.84935492562,7745.198135600387,3821.4805211252383,2868.591902074217,2933.787172575904,0.3211021689292227,0.23010764923717428,0.3672148686932407,0.14086288400885155,208.27350844350897,0.0013029229389528577,0.2603418855543862
0.4812037280884873,0.26518100661506094,45,90,-45,-45,45,-90,4827.25149014501,148079.48416224265,8716.620750924994,7241.984451726514,3352.5464426634594,2682.216463602412,2743.1759286842853,0.25089716293039155,0.3001920392255983,0.3153745031995786,0.3822165892810873,581.7139536148047,0.003928389924545202,0.7271424420185059
0.48119890406724053,0.23858100600792911,90,-45,90,-45,90,0,1907.8008260255067,147664.55283205313,8463.680271906163,7084.469827527232,3255.261643040832,2623.877713898975,2683.5112983057697,0.26507318260020546,0.3115076765278806,0.31332267479843534,0.15461916444051557,230.324061056601,0.0015597789492415354,0.28790507632075124
0.4616167224336399,0.24460978161321345,-45,90,-90,0,0,-90,941.2004214992292,143620.8690507577,8714.561958032846,6976.402291400662,3351.754599243402,2583.8527005187634,2642.5766255305534,0.3294538852240591,0.295659393401413,0.32042647583330053,0.0792600201182666,109.62358015672055,0.0007632844786503693,0.1370294751959007
0.6232352291549871,0.27285521728175743,90,45,-90,90,-90,-90,2870.6772472268603,168340.60807233947,10362.56600540741,8284.801630962087,3985.602309772081,3068.4450485044763,3138.1824359704874,0.31151056136180894,0.3022422310016277,0.37667116744207174,0.20845354164857474,328.1278736740034,0.0019491902603381355,0.4101598420925043
0.5702230023486418,0.16494024159465348,-45,90,45,-45,-90,-90,756.9458530032937,161374.24556324258,9714.502008772994,7984.320736703633,3736.3469264511514,2957.1558284087528,3024.363915418043,0.30395538263773114,0.24164905672661174,0.3295377003840616,0.054087222082343414,87.45320025297075,0.0005419278643115195,0.10931650031621343
0.5916145155592091,0.20809649345576528,-90,90,90,-45,45,-45,997.4442483886123,162311.38929846973,10038.914306505001,8033.097691456672,3861.120887117308,2975.2213672061744,3042.8400346426783,0.30637667361217,0.2463572950918601,0.302138884667508,0.08234045741066812,118.45310133199963,0.0007297892146938601,0.14806637666499955
0.4541168988591605,0.1598176995275284,0,-90,-90,-90,-45,-45,1487.2522513831082,142873.84366775193,8490.238295109033,6870.047043128226,3265.476267349628,2544.4618678252687,2602.290546639479,0.28142005543046433,0.2408527540299188,0.3944174363505662,0.13269182347215291,179.57223270100124,0.0012568586949938164,0.22446529087625156
0.6439819704323989,0.2977802414393964,-90,-45,90,90,-45,-90,2589.5761244696378,174344.40184831573,10719.193083565471,8701.176857640285,4122.766570602104,3222.6580954223273,3295.900324863744,0.2444556631617653,0.29650634313655644,0.31697134163949103,0.17112588102401655,296.1959803005857,0.0016989130546232513,0.3702449753757321
0.6164885281600844,0.2899306811435904,-45,-45,-45,0,90,45,2449.6291953906257,166761.36580066298,10480.072376627088,8443.287870908664,4030.797067933495,3127.1436558920973,3198.2151026169176,0.31844415420707295,0.3147917078934497,0.30095581861480686,0.15880510770267484,282.99444096837607,0.0016970024178540937,0.35374305121047006
0.49246782213565526,0.12709682604633105,45,0,-45,0,0,-90,4098.6133790125605,146496.07412646036,8708.690460648564,7229.566790518865,3349.4963310186786,2677.6173298218014,2738.4722691359334,0.3078713236215354,0.29168372067339027,0.3237131602383323,0.3240006630265519,495.664297891545,0.003383464716355954,0.6195803723644313
0.48636499344142015,0.2470035310528239,90,45,-45,45,45,90,3827.63594247851,150187.5557881695,8725.02196573243,6965.109217047975,3355.777679127858,2579.6700803881386,2638.298945851506,0.2872804464112725,0.3081466764879556,0.3235028787118134,0.3099648554150986,463.92906155853154,0.0030889980140090673,0.5799113269481644
0.48668090197068675,0.28654469713481984,45,45,0,90,-90,-45,2418.432322958156,146951.304856053,8822.771262800012,7539.265386143457,3393.373562615389,2792.3205133864653,2855.782343236158,0.32997596153682573,0.28386990948831725,0.3422005250845723,0.19286002611977196,291.3853263048585,0.0019828699485879807,0.36423165788107315
